Accept	स्वीकार करें	स्वीकारा
Accept material proposal	सामग्री का प्रस्ताव स्वीकार करें	साहित्याचा प्रस्ताव स्वीकारा
Accept quantity	मात्रा स्वीकार करें	प्रमाण स्वीकारा
Accept reversal	भुगतान सुधार स्वीकार करें	देयक दुरुस्ती स्वीकारा
Accept this request?	यह अनुरोध स्वीकार करें?	ही विनंती स्वीकारायची?
Accept ₹	स्वीकार करें ₹	स्वीकारा ₹
Accepted quantity	स्वीकृत मात्रा	स्वीकारलेले प्रमाण
Acknowledge	पुष्टि करें	पुष्टी करा
Acknowledge logistics charge	परिवहन शुल्क की पुष्टि करें	वाहतूक शुल्काची पुष्टी करा
Acknowledge this price	इस कीमत की पुष्टि करें	या किमतीची पुष्टी करा
Acknowledge ₹	पुष्टि करें ₹	पुष्टी करा ₹
Acknowledged material amount: ₹	पुष्ट सामग्री राशि: ₹	पुष्टी केलेली साहित्य रक्कम: ₹
Active	सक्रिय	सक्रिय
Actual quantity (	वास्तविक मात्रा (	प्रत्यक्ष प्रमाण (
Add a photo or continue with manual category selection.	फोटो जोड़ें या श्रेणी स्वयं चुनें।	फोटो जोडा किंवा स्वतः श्रेणी निवडा.
Add another material	एक और सामग्री जोड़ें	आणखी साहित्य जोडा
Add requirement	खरीद आवश्यकता जोड़ें	खरेदीची गरज जोडा
An earlier action is awaiting confirmation. Retry it to find out whether it was saved.	पिछली कार्रवाई की पुष्टि बाकी है। जाँचने के लिए फिर प्रयास करें।	आधीच्या कृतीची पुष्टी बाकी आहे. ती जतन झाली का ते पाहण्यासाठी पुन्हा प्रयत्न करा.
Any detailed category	कोई भी विस्तृत श्रेणी	कोणतीही तपशीलवार श्रेणी
Any within broad category	मुख्य श्रेणी में कोई भी	मुख्य श्रेणीतील कोणतीही
Approve invoice	चालान स्वीकृत करें	चलन मंजूर करा
Approved ₹	स्वीकृत ₹	मंजूर ₹
Area	क्षेत्र	परिसर
Areas: 	क्षेत्र: 	परिसर:\s
Ask or reply to clarification	स्पष्टीकरण पूछें या उत्तर दें	स्पष्टीकरण विचारा किंवा उत्तर द्या
Assess shared photo with Gemini	साझा फोटो को Gemini से पहचानें	शेअर केलेला फोटो Gemini द्वारे ओळखा
Availability	उपलब्धता	उपलब्धता
Awaiting recycler acknowledgment	रीसाइकलर की पुष्टि बाकी है	रीसायकलरची पुष्टी बाकी आहे
Awaiting review	समीक्षा बाकी है	पुनरावलोकन बाकी आहे
Back	वापस	मागे
Back to current order	वर्तमान ऑर्डर पर वापस जाएँ	सध्याच्या ऑर्डरवर परत जा
Back to financial record	वित्तीय रिकॉर्ड पर वापस जाएँ	आर्थिक नोंदीवर परत जा
Back to my lots	मेरे लॉट पर वापस जाएँ	माझ्या लॉटवर परत जा
Back to order	ऑर्डर पर वापस जाएँ	ऑर्डरवर परत जा
Back to pickup & receipt	उठान और प्राप्ति पर वापस जाएँ	उचल आणि प्राप्तीवर परत जा
Broad category	मुख्य श्रेणी	मुख्य श्रेणी
Buying portfolio	खरीद पोर्टफोलियो	खरेदी पोर्टफोलिओ
Buying requirements	खरीद आवश्यकताएँ	खरेदीच्या गरजा
Cancel and release reserved stock	रद्द करें और आरक्षित माल मुक्त करें	रद्द करून आरक्षित माल मोकळा करा
Cancel before collection	उठान से पहले रद्द करें	उचलण्यापूर्वी रद्द करा
Change evidence time	साक्ष्य का समय बदलें	पुराव्याची वेळ बदला
Change number	नंबर बदलें	क्रमांक बदला
Changes are saved on this phone as you type.	बदलाव लिखते समय इस फ़ोन पर सहेजे जाते हैं।	टाइप करतानाच बदल या फोनवर जतन होतात.
Charge basis	शुल्क का आधार	शुल्काचा आधार
Choose PDF or photo	PDF या फोटो चुनें	PDF किंवा फोटो निवडा
Choose a PDF, JPG or PNG document.	PDF, JPG या PNG दस्तावेज़ चुनें।	PDF, JPG किंवा PNG दस्तऐवज निवडा.
Choose a category	श्रेणी चुनें	श्रेणी निवडा
Choose a document up to 5 MB.	5 MB तक का दस्तावेज़ चुनें।	5 MB पर्यंतचा दस्तऐवज निवडा.
Choose a photo for identification	पहचान के लिए फोटो चुनें	ओळखीसाठी फोटो निवडा
Choose a readable photo.	स्पष्ट फोटो चुनें।	स्पष्ट फोटो निवडा.
Choose a smaller photo.	छोटा फोटो चुनें।	लहान फोटो निवडा.
Choose detailed category (106 codes)	विस्तृत श्रेणी चुनें (106 कोड)	तपशीलवार श्रेणी निवडा (106 कोड)
Choose manually	स्वयं चुनें	स्वतः निवडा
Choose the invoice first.	पहले चालान चुनें।	आधी चलन निवडा.
Choose the issued invoice document.	जारी किया गया चालान चुनें।	जारी केलेले चलन निवडा.
Clarification	स्पष्टीकरण	स्पष्टीकरण
Collection area	उठान का क्षेत्र	उचलण्याचा परिसर
Collector material proposal: ₹	संग्राहक का सामग्री प्रस्ताव: ₹	संकलकाचा साहित्य प्रस्ताव: ₹
Collector reviewed and accepted this receipt quantity	संग्राहक ने प्राप्त मात्रा की समीक्षा कर स्वीकार किया	संकलकाने प्राप्त प्रमाण तपासून स्वीकारले
Compare rates only within the same unit. Logistics is paid separately by the recycler.	एक ही इकाई के दरों की तुलना करें। रीसाइकलर परिवहन का अलग भुगतान करता है।	एकाच एककातील दरांची तुलना करा. रीसायकलर वाहतुकीचे पैसे वेगळे देतो.
Condition on inspection	निरीक्षण के समय स्थिति	तपासणीवेळी स्थिती
Confirm category	श्रेणी की पुष्टि करें	श्रेणीची पुष्टी करा
Confirm detailed category	विस्तृत श्रेणी की पुष्टि करें	तपशीलवार श्रेणीची पुष्टी करा
Confirm equipment category	उपकरण श्रेणी की पुष्टि करें	उपकरण श्रेणीची पुष्टी करा
Confirm goods returned	माल वापस मिलने की पुष्टि करें	माल परत मिळाल्याची पुष्टी करा
Confirm money received	पैसे मिलने की पुष्टि करें	पैसे मिळाल्याची पुष्टी करा
