Waste has value.\nFind yours.	कचरे में भी मूल्य है।\nअपना मूल्य पाएँ।	कचऱ्यालाही मूल्य आहे.\nतुमचे मूल्य शोधा.
One marketplace for aggregators and recyclers.	एग्रीगेटर और रीसाइक्लर के लिए एक बाज़ार।	ॲग्रीगेटर आणि रिसायकलर यांच्यासाठी एक बाजारपेठ.
Collect. Connect. Recycle.	इकट्ठा करें। जुड़ें। रीसायकल करें।	गोळा करा. जोडा. पुनर्वापर करा.
Sell collected material or source it for your recycling business.	इकट्ठा सामग्री बेचें या अपने रीसाइक्लिंग व्यवसाय के लिए खरीदें।	गोळा केलेली सामग्री विका किंवा तुमच्या रिसायकलिंग व्यवसायासाठी खरेदी करा.
Log in	लॉग इन करें	लॉग इन करा
Sign up	खाता बनाएँ	खाते उघडा
Already signed in on this phone	इस फ़ोन पर पहले से लॉग इन है	या फोनवर आधीच लॉग इन केले आहे
Continue as Recycler	रीसाइक्लर के रूप में जारी रखें	रिसायकलर म्हणून पुढे जा
Continue as Aggregator	एग्रीगेटर के रूप में जारी रखें	ॲग्रीगेटर म्हणून पुढे जा
Aggregator	एग्रीगेटर	ॲग्रीगेटर
Aggregator workspace	एग्रीगेटर कार्यक्षेत्र	ॲग्रीगेटर कार्यक्षेत्र
Join the marketplace	बाज़ार से जुड़ें	बाजारपेठेत सामील व्हा
Choose how you use E-Waste Marketplace.	चुनें कि आप E-Waste Marketplace का उपयोग कैसे करेंगे।	तुम्ही E-Waste Marketplace कसे वापरणार ते निवडा.
I collect and sell material	मैं सामग्री इकट्ठा करके बेचता हूँ	मी सामग्री गोळा करून विकतो
Create lots, add photos and connect with recyclers.	लॉट बनाएँ, फ़ोटो जोड़ें और रीसाइक्लर से जुड़ें।	लॉट तयार करा, फोटो जोडा आणि रिसायकलरशी संपर्क साधा.
I buy and process material	मैं सामग्री खरीदता और संसाधित करता हूँ	मी सामग्री खरेदी करून प्रक्रिया करतो
Post buying needs, review lots and manage orders.	खरीद की ज़रूरतें डालें, लॉट जाँचें और ऑर्डर सँभालें।	खरेदीच्या गरजा नोंदवा, लॉट तपासा आणि ऑर्डर व्यवस्थापित करा.
Your account keeps its own lots, orders and payments.	आपके लॉट, ऑर्डर और भुगतान आपके खाते से जुड़े रहते हैं।	तुमचे लॉट, ऑर्डर आणि देयके तुमच्या खात्याशी जोडलेली राहतात.
Set up your login	अपना लॉग इन सेट करें	तुमचे लॉग इन तयार करा
Create your account	अपना खाता बनाएँ	तुमचे खाते उघडा
Keep your existing lots and orders.	अपने मौजूदा लॉट और ऑर्डर बनाए रखें।	तुमचे सध्याचे लॉट आणि ऑर्डर जतन करा.
A few details to get started.	शुरू करने के लिए कुछ जानकारी दें।	सुरुवात करण्यासाठी थोडी माहिती द्या.
