Authorized recyclers	अधिकृत रिसाइकलर	अधिकृत पुनर्चक्रण करणारे
Posted materials	प्रकाशित सामग्री	प्रकाशित साहित्य
Find recyclers by material and location	सामग्री और स्थान से रिसाइकलर खोजें	साहित्य आणि ठिकाणानुसार रिसायकलर शोधा
Browse nearby lots and make an offer	पास के लॉट देखें और प्रस्ताव दें	जवळचे लॉट पाहा आणि प्रस्ताव द्या
Find a registered recycler for your collection.	अपनी सामग्री के लिए पंजीकृत रिसाइकलर खोजें।	तुमच्या साहित्यासाठी नोंदणीकृत रिसायकलर शोधा.
Discover available lots and send a material offer.	उपलब्ध लॉट देखें और सामग्री का प्रस्ताव भेजें।	उपलब्ध लॉट पाहा आणि साहित्यासाठी प्रस्ताव पाठवा.
All materials	सभी सामग्री	सर्व साहित्य
Search name, city or area	नाम, शहर या क्षेत्र खोजें	नाव, शहर किंवा परिसर शोधा
Search	खोजें	शोधा
Search radius	खोज की दूरी	शोधाचे अंतर
Use my location	मेरा स्थान इस्तेमाल करें	माझे स्थान वापरा
Use pickup location	उठान का स्थान जोड़ें	उचलण्याचे ठिकाण जोडा
Use facility location	सुविधा का स्थान जोड़ें	सुविधेचे ठिकाण जोडा
Clear location	स्थान हटाएँ	स्थान काढा
Remove location	स्थान हटाएँ	स्थान काढा
Approximate distance from your selected location	चुने हुए स्थान से अनुमानित दूरी	निवडलेल्या स्थानापासून अंदाजे अंतर
Approximate location added	अनुमानित स्थान जोड़ा गया	अंदाजे स्थान जोडले
About \s	लगभग \s	सुमारे \s
Pickup available	उठान उपलब्ध	उचलण्याची सुविधा उपलब्ध
Contact for handover options	हस्तांतरण के विकल्पों के लिए संपर्क करें	हस्तांतरणाच्या पर्यायांसाठी संपर्क करा
Authorization checked	प्राधिकरण की जाँच हुई	अधिकृततेची तपासणी झाली
No authorized recyclers match these filters yet.	इन फ़िल्टर के अनुसार अभी कोई अधिकृत रिसाइकलर नहीं है।	या फिल्टरनुसार सध्या अधिकृत रिसायकलर उपलब्ध नाही.
No posted lots match these filters yet.	इन फ़िल्टर के अनुसार अभी कोई प्रकाशित लॉट नहीं है।	या फिल्टरनुसार सध्या प्रकाशित लॉट उपलब्ध नाही.
View recycler	रिसाइकलर देखें	रिसायकलर पाहा
View lot	लॉट देखें	लॉट पाहा
Business phone	व्यवसाय का फोन	व्यवसायाचा फोन
Business email	व्यवसाय का ईमेल	व्यवसायाचा ईमेल
Call recycler	रिसाइकलर को कॉल करें	रिसायकलरला कॉल करा
Current offered rates	वर्तमान प्रस्तावित दरें	सध्याचे प्रस्तावित दर
No current rate. Check again after the recycler publishes requirements.	अभी कोई दर नहीं है। रिसाइकलर की आवश्यकता प्रकाशित होने पर दोबारा देखें।	सध्या दर उपलब्ध नाही. रिसायकलरने आवश्यकता प्रकाशित केल्यानंतर पुन्हा पाहा.
Minimum: \s	न्यूनतम: \s	किमान: \s
Valid until: \s	इस तारीख तक मान्य: \s	या तारखेपर्यंत वैध: \s
Source: \s	स्रोत: \s	स्रोत: \s
Rates are indicative. Recycler pays logistics separately.	दरें सांकेतिक हैं। परिवहन का भुगतान रिसाइकलर अलग से करता है।	दर सूचक आहेत. वाहतुकीचे पैसे रिसायकलर स्वतंत्रपणे देतो.
Send a lot	लॉट भेजें	लॉट पाठवा
Save a lot online before sending it.	भेजने से पहले लॉट ऑनलाइन सहेजें।	पाठवण्यापूर्वी लॉट ऑनलाइन जतन करा.
Choose a lot	लॉट चुनें	लॉट निवडा
Choose material	सामग्री चुनें	साहित्य निवडा
View photo \s	फोटो देखें \s	फोटो पाहा \s
Make an offer	प्रस्ताव दें	प्रस्ताव द्या
The saved lot changed. Review and post it again to make it visible.	सहेजा गया लॉट बदला है। जाँचकर दोबारा प्रकाशित करें।	जतन केलेला लॉट बदलला आहे. तपासून पुन्हा प्रकाशित करा.
Post for recyclers	रिसाइकलर के लिए प्रकाशित करें	रिसायकलरसाठी प्रकाशित करा
Publish this lot?	यह लॉट प्रकाशित करें?	हा लॉट प्रकाशित करायचा?
Share these material details, photos and approximate collection location with registered recyclers. Private notes stay private.	सामग्री का विवरण, फोटो और अनुमानित संग्रह स्थान पंजीकृत रिसाइकलर को दिखाएँ। निजी नोट साझा नहीं होंगे।	साहित्याचा तपशील, फोटो आणि अंदाजे संकलनाचे ठिकाण नोंदणीकृत रिसायकलरना दाखवा. खाजगी नोंदी खाजगी राहतील.
Post lot	लॉट प्रकाशित करें	लॉट प्रकाशित करा
Pause listing	लिस्टिंग रोकें	सूची तात्पुरती थांबवा
Withdraw listing	लिस्टिंग हटाएँ	सूची मागे घ्या
posted	प्रकाशित	प्रकाशित
paused	रुका हुआ	थांबवलेले
withdrawn	वापस लिया गया	मागे घेतलेले
Add a matching buying requirement	मेल खाती खरीद आवश्यकता जोड़ें	जुळणारी खरेदी आवश्यकता जोडा
Publish a requirement for this material, unit and service area before making an offer.	प्रस्ताव देने से पहले इस सामग्री, इकाई और सेवा क्षेत्र की खरीद आवश्यकता प्रकाशित करें।	प्रस्ताव देण्यापूर्वी या साहित्याची, एककाची आणि सेवा क्षेत्राची खरेदी आवश्यकता प्रकाशित करा.
Choose buying requirement	खरीद आवश्यकता चुनें	खरेदी आवश्यकता निवडा
Your material offer	आपका सामग्री प्रस्ताव	तुमचा साहित्याचा प्रस्ताव
Your offer goes to the aggregator. They can accept, decline or counter.	प्रस्ताव एग्रीगेटर को जाएगा। वे स्वीकार, अस्वीकार या जवाबी प्रस्ताव दे सकते हैं।	प्रस्ताव अ‍ॅग्रीगेटरकडे जाईल. ते स्वीकारू, नाकारू किंवा प्रतिप्रस्ताव देऊ शकतात.
Send material offer	सामग्री का प्रस्ताव भेजें	साहित्याचा प्रस्ताव पाठवा
Total material amount ₹	सामग्री की कुल राशि ₹	साहित्याची एकूण रक्कम ₹
Message to the other party	दूसरे पक्ष को संदेश	दुसऱ्या पक्षाला संदेश
Send a counteroffer	जवाबी प्रस्ताव भेजें	प्रतिप्रस्ताव पाठवा
Current material offer: ₹	वर्तमान सामग्री प्रस्ताव: ₹	सध्याचा साहित्य प्रस्ताव: ₹
Send message	संदेश भेजें	संदेश पाठवा
You	आप	तुम्ही
Other party	दूसरा पक्ष	दुसरा पक्ष
Finding your location…	आपका स्थान खोज रहे हैं…	तुमचे स्थान शोधत आहोत…
Location permission was denied. Search by city or area instead.	स्थान की अनुमति नहीं मिली। शहर या क्षेत्र से खोजें।	स्थानाची परवानगी मिळाली नाही. शहर किंवा परिसरानुसार शोधा.
Turn on location, or search by city or area.	स्थान चालू करें या शहर अथवा क्षेत्र से खोजें।	स्थान सुरू करा किंवा शहर अथवा परिसरानुसार शोधा.
Location was not available. Try outdoors or search by city or area.	स्थान नहीं मिला। बाहर कोशिश करें या शहर अथवा क्षेत्र से खोजें।	स्थान मिळाले नाही. बाहेर प्रयत्न करा किंवा शहर अथवा परिसरानुसार शोधा.
Item name	वस्तु का नाम	वस्तूचे नाव
Suggested from your photo. Check the category, unit and estimated count. Enter measured weight for kg.	फोटो के आधार पर सुझाव। श्रेणी, इकाई और अनुमानित संख्या जाँचें। किलो के लिए तौला हुआ वजन भरें।	फोटोवरून दिलेली सूचना. श्रेणी, एकक आणि अंदाजे संख्या तपासा. किलोसाठी मोजलेले वजन भरा.
I checked this item, category and quantity	मैंने वस्तु, श्रेणी और मात्रा जाँच ली है	मी वस्तू, श्रेणी आणि प्रमाण तपासले आहे
Remove this material	यह सामग्री हटाएँ	हे साहित्य काढा
Are these different items?	क्या ये अलग वस्तुएँ हैं?	या वेगळ्या वस्तू आहेत का?
Another photo was already identified. Add these suggestions only if they show additional items; otherwise keep your existing quantities.	एक और फोटो की पहचान हो चुकी है। केवल अतिरिक्त वस्तुएँ होने पर ये सुझाव जोड़ें, वरना मौजूदा मात्रा रखें।	दुसऱ्या फोटोची ओळख आधीच झाली आहे. अतिरिक्त वस्तू असल्यासच या सूचना जोडा, अन्यथा सध्याचे प्रमाण ठेवा.
Add different items	अलग वस्तुएँ जोड़ें	वेगळ्या वस्तू जोडा
Keep existing items	मौजूदा वस्तुएँ रखें	सध्याच्या वस्तू ठेवा
List these business details in the authorized recycler directory after verification	सत्यापन के बाद ये व्यवसाय विवरण अधिकृत रिसाइकलर सूची में दिखाएँ	पडताळणीनंतर हा व्यवसायाचा तपशील अधिकृत रिसायकलर यादीत दाखवा
Hide filters	फ़िल्टर छिपाएँ	फिल्टर लपवा
Material, distance and pickup filters	सामग्री, दूरी और उठान फ़िल्टर	साहित्य, अंतर आणि उचलण्याचे फिल्टर
Any distance	कितनी भी दूरी	कोणतेही अंतर
Choose my city or area	मेरा शहर या क्षेत्र चुनें	माझे शहर किंवा परिसर निवडा
Distance from:	यहाँ से दूरी:	येथून अंतर:
Selected location	चुना हुआ स्थान	निवडलेले ठिकाण
Approximate straight-line distance. Open directions for the road route.	सीधी रेखा की अनुमानित दूरी। सड़क मार्ग के लिए दिशाएँ खोलें।	सरळ रेषेतील अंदाजे अंतर. रस्त्याच्या मार्गासाठी दिशानिर्देश उघडा.
Choose your location to see distances.	दूरी देखने के लिए अपना स्थान चुनें।	अंतर पाहण्यासाठी तुमचे ठिकाण निवडा.
Distance unavailable	दूरी उपलब्ध नहीं	अंतर उपलब्ध नाही
straight-line	सीधी दूरी	सरळ अंतर
Directions	दिशाएँ	दिशानिर्देश
Your asking price ₹ /	आपकी माँगी कीमत ₹ /	तुमची अपेक्षित किंमत ₹ /
Optional. This price is negotiable; logistics is separate.	वैकल्पिक। कीमत पर बातचीत हो सकती है; परिवहन अलग है।	ऐच्छिक. किंमतीवर वाटाघाटी होऊ शकतात; वाहतूक वेगळी आहे.
Aggregator asking price	एग्रीगेटर की माँगी कीमत	संकलकाची अपेक्षित किंमत
Price on request	कीमत पूछें	किंमत विचारा
Choose pickup city or area	उठाने का शहर या क्षेत्र चुनें	संकलनाचे शहर किंवा परिसर निवडा
Choose facility city or area	सुविधा का शहर या क्षेत्र चुनें	सुविधेचे शहर किंवा परिसर निवडा
Enter a positive asking price with at most two decimal places.	दो दशमलव तक शून्य से अधिक कीमत भरें।	दोन दशांशांपर्यंत शून्यापेक्षा जास्त किंमत भरा.
Choose location	स्थान चुनें	ठिकाण निवडा
Confirm location	स्थान की पुष्टि करें	ठिकाणाची खात्री करा
Area search is unavailable. Use GPS at the location instead.	क्षेत्र खोज उपलब्ध नहीं है। उस स्थान पर GPS इस्तेमाल करें।	परिसर शोध उपलब्ध नाही. त्या ठिकाणी GPS वापरा.
No location found. Include the city and state, or use GPS.	स्थान नहीं मिला। शहर और राज्य लिखें या GPS इस्तेमाल करें।	ठिकाण सापडले नाही. शहर आणि राज्य लिहा किंवा GPS वापरा.
Current GPS location	वर्तमान GPS स्थान	सध्याचे GPS ठिकाण
