By Freedom Value	फ्रीडम वैल्यू द्वारा	फ्रीडम व्हॅल्यूतर्फे
Collector workspace	संग्रहकर्ता कार्यक्षेत्र	संकलक कार्यक्षेत्र
Recycler workspace	पुनर्चक्रणकर्ता कार्यक्षेत्र	पुनर्वापरकर्ता कार्यक्षेत्र
My lots	मेरे लॉट	माझे लॉट
Buying	खरीद	खरेदी
Earnings	कमाई	कमाई
Payments	भुगतान	देयके
Welcome back	फिर से स्वागत है	पुन्हा स्वागत आहे
Your collection.\nMore possibilities.	आपका संग्रह।\nनई संभावनाएँ।	तुमचा संग्रह.\nनव्या संधी.
Find your next\nmaterial supply.	अपनी अगली\nसामग्री आपूर्ति खोजें।	तुमचा पुढील\nमाल पुरवठा शोधा.
Turn your collection into a lot	अपने संग्रह का लॉट बनाएँ	तुमच्या संग्रहाचा लॉट तयार करा
Tell collectors what you buy	संग्रहकर्ताओं को अपनी ज़रूरत बताएँ	संकलकांना तुमची गरज सांगा
Add a photo, confirm the material and connect with recyclers.	फोटो जोड़ें, सामग्री की पुष्टि करें और पुनर्चक्रणकर्ताओं से जुड़ें।	फोटो जोडा, साहित्याची खात्री करा आणि पुनर्वापरकर्त्यांशी जोडा.
Publish buying requirements and review incoming material.	खरीद की ज़रूरत प्रकाशित करें और आने वाली सामग्री देखें।	खरेदीच्या गरजा प्रकाशित करा आणि येणारे साहित्य तपासा.
Saved lots	सहेजे गए लॉट	जतन केलेले लॉट
Need to sync	सिंक करना बाकी	सिंक करणे बाकी
Your workspace	आपका कार्यक्षेत्र	तुमचे कार्यक्षेत्र
Follow quotes and recycler responses	भाव और पुनर्चक्रणकर्ता के जवाब देखें	दर आणि पुनर्वापरकर्त्यांची उत्तरे पहा
Track pickup, delivery and settlement	पिकअप, डिलीवरी और निपटान देखें	पिकअप, वितरण आणि हिशेब पहा
Recent lots	हाल के लॉट	अलीकडील लॉट
Your requirements and orders stay connected with the operations team.	आपकी ज़रूरतों और ऑर्डर की जानकारी संचालन टीम को मिलती रहती है।	तुमच्या गरजा आणि ऑर्डरची माहिती कामकाज टीमला मिळत राहते.
Your saved collection, ready for the next step.	आपका सहेजा संग्रह, अगले कदम के लिए तैयार।	तुमचा जतन केलेला संग्रह पुढील टप्प्यासाठी तयार.
Your first lot starts here	अपना पहला लॉट यहाँ बनाएँ	तुमचा पहिला लॉट येथे तयार करा
Photos	फोटो	फोटो
Details	विवरण	तपशील
Review	समीक्षा	आढावा
Start with a photo	फोटो से शुरू करें	फोटोने सुरुवात करा
Photograph the whole item in good light.	अच्छी रोशनी में पूरी वस्तु का फोटो लें।	चांगल्या प्रकाशात संपूर्ण वस्तूचा फोटो घ्या.
What are you collecting?	आप क्या इकट्ठा कर रहे हैं?	तुम्ही काय गोळा करत आहात?
Remove photo	फोटो हटाएँ	फोटो काढा
Identify waste type	कचरे का प्रकार पहचानें	कचऱ्याचा प्रकार ओळखा
Review the suggested category before saving.	सहेजने से पहले सुझाई गई श्रेणी की जाँच करें।	जतन करण्यापूर्वी सुचवलेली श्रेणी तपासा.
You can also continue and choose the category yourself.	आप आगे बढ़कर श्रेणी स्वयं भी चुन सकते हैं।	तुम्ही पुढे जाऊन स्वतः श्रेणी निवडू शकता.
Tell us about the material	सामग्री का विवरण दें	साहित्याची माहिती द्या
Not checked	जाँच नहीं की	तपासलेले नाही
Unsorted	बिना छाँटा	न निवडलेले
Sorted	छाँटा हुआ	निवडलेले
Damaged	क्षतिग्रस्त	खराब
For example, office laptops	जैसे, कार्यालय के लैपटॉप	उदा. कार्यालयातील लॅपटॉप
