ITEW1	केंद्रीकृत डेटा प्रसंस्करण: मेनफ़्रेम, मिनीकंप्यूटर	केंद्रीकृत डेटा प्रक्रिया: मेनफ्रेम, मिनीकॉम्प्युटर
ITEW2	पर्सनल कंप्यूटर (CPU और इनपुट/आउटपुट उपकरण सहित)	वैयक्तिक संगणक (CPU आणि इनपुट/आउटपुट उपकरणांसह)
ITEW3	लैपटॉप कंप्यूटर (CPU और इनपुट/आउटपुट उपकरण सहित)	लॅपटॉप संगणक (CPU आणि इनपुट/आउटपुट उपकरणांसह)
ITEW4	नोटबुक कंप्यूटर	नोटबुक संगणक
ITEW5	नोटपैड कंप्यूटर	नोटपॅड संगणक
ITEW6	कार्ट्रिज सहित प्रिंटर	कार्ट्रिजसह प्रिंटर
ITEW7	प्रतिलिपि बनाने के उपकरण	प्रत तयार करणारी उपकरणे
ITEW8	विद्युत और इलेक्ट्रॉनिक टाइपराइटर	विद्युत आणि इलेक्ट्रॉनिक टाइपरायटर
ITEW9	यूज़र टर्मिनल और प्रणालियाँ	वापरकर्ता टर्मिनल आणि प्रणाली
ITEW10	फ़ैक्स उपकरण	फॅक्स उपकरणे
ITEW11	टेलेक्स	टेलेक्स
ITEW12	टेलीफ़ोन	दूरध्वनी
ITEW13	सिक्के/शुल्क वाले सार्वजनिक टेलीफ़ोन	शुल्क आकारणारे सार्वजनिक दूरध्वनी
ITEW14	कॉर्डलेस टेलीफ़ोन	कॉर्डलेस दूरध्वनी
ITEW15	मोबाइल फ़ोन	मोबाइल फोन
ITEW16	कॉल का उत्तर रिकॉर्ड करने की प्रणाली	कॉलला उत्तर देणारी रेकॉर्डिंग प्रणाली
ITEW17	दूरसंचार प्रसारण उपकरण	दूरसंचार प्रसारण उपकरणे
ITEW18	टावर को छोड़कर BTS के पुर्ज़े	टॉवर वगळता BTS चे भाग
ITEW19	टैबलेट, iPad	टॅबलेट, iPad
ITEW20	फ़ैबलेट	फॅबलेट
ITEW21	स्कैनर	स्कॅनर
ITEW22	राउटर	राउटर
ITEW23	GPS उपकरण	GPS उपकरणे
ITEW24	UPS (बिना रुकावट बिजली आपूर्ति)	UPS (अखंडित वीजपुरवठा)
ITEW25	इन्वर्टर	इन्व्हर्टर
ITEW26	मॉडेम	मोडेम
ITEW27	इलेक्ट्रॉनिक डेटा भंडारण उपकरण	इलेक्ट्रॉनिक डेटा साठवण उपकरणे
CEEW1	LCD और LED सहित टेलीविज़न	LCD आणि LED सह दूरचित्रवाणी संच
CEEW2	रेफ़्रिजरेटर	रेफ्रिजरेटर
CEEW3	कपड़े धोने की मशीन	कपडे धुण्याचे यंत्र
CEEW4	केंद्रीकृत संयंत्रों को छोड़कर एयर कंडीशनर	केंद्रीकृत यंत्रणा वगळता वातानुकूलक
CEEW5	फ़्लोरोसेंट और पारा युक्त अन्य लैंप	फ्लोरोसंट आणि पारा असलेले इतर दिवे
CEEW6	स्क्रीन, इलेक्ट्रॉनिक फ़ोटो फ़्रेम, डिस्प्ले पैनल, मॉनिटर	स्क्रीन, इलेक्ट्रॉनिक फोटो फ्रेम, डिस्प्ले पॅनेल, मॉनिटर
CEEW7	रेडियो सेट	रेडिओ संच
CEEW8	सेट टॉप बॉक्स	सेट टॉप बॉक्स
CEEW9	वीडियो कैमरे	व्हिडिओ कॅमेरे
CEEW10	वीडियो रिकॉर्डर	व्हिडिओ रेकॉर्डर
CEEW11	हाई-फ़ाई रिकॉर्डर	हाय-फाय रेकॉर्डर
CEEW12	ऑडियो एम्प्लीफ़ायर	ऑडिओ ॲम्प्लिफायर
CEEW13	ध्वनि/चित्र रिकॉर्ड करने, चलाने और दूरसंचार से वितरित करने के अन्य उपकरण	ध्वनी/चित्र रेकॉर्ड करणे, पुन्हा वाजवणे/दाखवणे आणि दूरसंचाराने वितरित करणारी इतर उपकरणे
CEEW14	सौर पैनल/सेल और सौर फ़ोटोवोल्टाइक पैनल/सेल/मॉड्यूल	सौर पॅनेल/सेल आणि सौर फोटोव्होल्टाइक पॅनेल/सेल/मॉड्यूल
CEEW15	घरेलू उपयोग को छोड़कर फ़्लोरोसेंट लैंप की लाइट फ़िटिंग	घरगुती वापर वगळता फ्लोरोसंट दिव्यांची प्रकाशयोजना उपकरणे
CEEW16	उच्च तीव्रता डिस्चार्ज लैंप, प्रेशर सोडियम और मेटल हैलाइड सहित	उच्च तीव्रतेचे डिस्चार्ज दिवे, प्रेशर सोडियम आणि मेटल हॅलाइडसह
CEEW17	कम दबाव वाले सोडियम लैंप	कमी दाबाचे सोडियम दिवे
CEEW18	फ़िलामेंट बल्ब छोड़कर प्रकाश फैलाने/नियंत्रित करने के अन्य उपकरण	फिलामेंट बल्ब वगळता प्रकाश पसरवणारी/नियंत्रित करणारी इतर उपकरणे
CEEW19	डिजिटल कैमरा	डिजिटल कॅमेरा
LSEEW1	ठंडा करने वाले बड़े उपकरण	थंड करणारी मोठी उपकरणे
LSEEW2	फ़्रीज़र	फ्रीझर
LSEEW3	खाद्य पदार्थ ठंडे रखने और भंडारण के अन्य बड़े उपकरण	अन्न थंड ठेवणारी आणि साठवणारी इतर मोठी उपकरणे
LSEEW4	कपड़े सुखाने की मशीनें	कपडे वाळवणारी यंत्रे
LSEEW5	बर्तन धोने की मशीनें	भांडी धुण्याची यंत्रे
LSEEW6	इलेक्ट्रिक कुकर	इलेक्ट्रिक कुकर
LSEEW7	बिजली के चूल्हे	विजेच्या शेगड्या
LSEEW8	इलेक्ट्रिक हॉट प्लेट	इलेक्ट्रिक हॉट प्लेट
LSEEW9	माइक्रोवेव और माइक्रोवेव ओवन	मायक्रोवेव्ह आणि मायक्रोवेव्ह ओव्हन
LSEEW10	खाना पकाने और खाद्य प्रसंस्करण के अन्य बड़े उपकरण	स्वयंपाक आणि अन्न प्रक्रिया करणारी इतर मोठी उपकरणे
LSEEW11	बिजली से गर्म करने के उपकरण	विजेवर चालणारी गरम करण्याची उपकरणे
LSEEW12	इलेक्ट्रिक रेडिएटर	इलेक्ट्रिक रेडिएटर
LSEEW13	कमरे, बिस्तर और बैठने की जगह गर्म करने के अन्य बड़े उपकरण	खोली, अंथरूण आणि आसने गरम करणारी इतर मोठी उपकरणे
LSEEW14	बिजली के पंखे	विजेचे पंखे
LSEEW15	हवा चलाने, निकासी और वातानुकूलन के अन्य उपकरण	हवा खेळवणे, बाहेर काढणे आणि वातानुकूलनाची इतर उपकरणे
LSEEW16	वैक्यूम क्लीनर	व्हॅक्यूम क्लीनर
LSEEW17	कालीन साफ़ करने की मशीनें	गालिचे साफ करणारी यंत्रे
LSEEW18	सफ़ाई के अन्य उपकरण	स्वच्छतेची इतर उपकरणे
LSEEW19	सिलाई, बुनाई और कपड़ा प्रसंस्करण के उपकरण	शिवणकाम, विणकाम आणि कापड प्रक्रिया उपकरणे
LSEEW20	इस्त्री और कपड़ों की देखभाल के अन्य उपकरण	इस्त्री आणि कपड्यांची निगा राखणारी इतर उपकरणे
LSEEW21	ग्राइंडर, कॉफ़ी मशीन और डिब्बे खोलने/सील करने के उपकरण	ग्राइंडर, कॉफी मशीन आणि डबे उघडणारी/सील करणारी उपकरणे
LSEEW22	धुएँ का पता लगाने वाले उपकरण	धूर शोधणारी उपकरणे
LSEEW23	ताप नियंत्रक	उष्णता नियंत्रक
LSEEW24	थर्मोस्टैट	थर्मोस्टॅट
LSEEW25	गर्म पेय देने वाली स्वचालित मशीनें	गरम पेये देणारी स्वयंचलित यंत्रे
LSEEW26	गर्म/ठंडी बोतलें या कैन देने वाली स्वचालित मशीनें	गरम/थंड बाटल्या किंवा कॅन देणारी स्वयंचलित यंत्रे
LSEEW27	ठोस उत्पाद देने वाली स्वचालित मशीनें	घन उत्पादने देणारी स्वयंचलित यंत्रे
LSEEW28	नकद देने वाली स्वचालित मशीनें	रोख रक्कम देणारी स्वयंचलित यंत्रे
LSEEW29	उत्पाद देने वाली अन्य स्वचालित मशीनें	उत्पादने देणारी इतर स्वयंचलित यंत्रे
LSEEW30	कमरे के भीतर हवा साफ़ करने वाले उपकरण	घरातील हवा शुद्ध करणारी उपकरणे
LSEEW31	हेयर ड्रायर	हेअर ड्रायर
LSEEW32	इलेक्ट्रिक शेवर	इलेक्ट्रिक शेव्हर
LSEEW33	इलेक्ट्रिक केतली	इलेक्ट्रिक किटली
LSEEW34	इलेक्ट्रॉनिक डिस्प्ले	इलेक्ट्रॉनिक डिस्प्ले
EETW1	ड्रिल मशीनें	ड्रिल यंत्रे
EETW2	आरियाँ	करवती
EETW3	सिलाई मशीनें	शिलाई यंत्रे
EETW4	लकड़ी, धातु और अन्य सामग्री की मशीनिंग/प्रसंस्करण के उपकरण	लाकूड, धातू आणि इतर पदार्थांच्या मशिनिंग/प्रक्रियेची उपकरणे
EETW5	रिवेट, कील, पेंच लगाने और संबंधित औज़ार	रिव्हेट, खिळे, स्क्रू लावणारी आणि संबंधित साधने
EETW6	वेल्डिंग, सोल्डरिंग और संबंधित औज़ार	वेल्डिंग, सोल्डरिंग आणि संबंधित साधने
EETW7	तरल/गैस छिड़कने, फैलाने और संबंधित उपचार उपकरण	द्रव/वायू फवारणे, पसरवणे आणि संबंधित प्रक्रिया उपकरणे
EETW8	घास काटने और बाग़बानी के औज़ार	गवत कापण्याची आणि बागकामाची साधने
TLSEW1	इलेक्ट्रिक ट्रेन और कार रेसिंग सेट	इलेक्ट्रिक ट्रेन आणि कार रेसिंग संच
TLSEW2	हाथ में रखने वाले वीडियो गेम कंसोल	हातात धरून वापरण्याचे व्हिडिओ गेम कन्सोल
TLSEW3	वीडियो गेम	व्हिडिओ गेम
TLSEW4	साइकिलिंग, गोताखोरी, दौड़ने, नौका चलाने आदि के कंप्यूटर	सायकलिंग, डायव्हिंग, धावणे, वल्हवणे इत्यादींसाठी संगणक
TLSEW5	विद्युत/इलेक्ट्रॉनिक पुर्ज़ों वाले खेल उपकरण	विद्युत/इलेक्ट्रॉनिक भाग असलेली क्रीडा उपकरणे
TLSEW6	सिक्के डालकर चलने वाली मशीनें	नाणे टाकून चालणारी यंत्रे
