Your facility	आपकी सुविधा	तुमची सुविधा
Manage your business details and review status.	व्यवसाय की जानकारी और समीक्षा की स्थिति देखें।	व्यवसायाची माहिती आणि पुनरावलोकनाची स्थिती पाहा.
Awaiting review	समीक्षा की प्रतीक्षा	पुनरावलोकनाची प्रतीक्षा
Approved by Freedom Value	Freedom Value द्वारा स्वीकृत	Freedom Value कडून मंजूर
Changes required	सुधार आवश्यक	बदल आवश्यक
Review expired	समीक्षा की अवधि समाप्त	पुनरावलोकनाची मुदत संपली
Not submitted	जमा नहीं किया गया	सादर केलेले नाही
Connect to load facility details.	सुविधा की जानकारी के लिए इंटरनेट से जुड़ें।	सुविधेची माहिती पाहण्यासाठी इंटरनेटशी जोडा.
Review valid until	समीक्षा की वैधता	पुनरावलोकनाची वैधता
Your documents are with the operations team. Check here for their decision.	आपके दस्तावेज़ संचालन टीम के पास हैं। उनका निर्णय यहाँ देखें।	तुमची कागदपत्रे संचालन पथकाकडे आहेत. त्यांचा निर्णय येथे पाहा.
You can publish requirements within the reviewed material categories.	आप समीक्षा की गई सामग्री श्रेणियों में खरीद की ज़रूरतें प्रकाशित कर सकते हैं।	पुनरावलोकन झालेल्या सामग्रीच्या श्रेणींमध्ये खरेदीच्या गरजा प्रकाशित करता येतील.
Submit your facility details before publishing buying requirements.	खरीद की ज़रूरतें प्रकाशित करने से पहले सुविधा की जानकारी जमा करें।	खरेदीच्या गरजा प्रकाशित करण्यापूर्वी सुविधेची माहिती सादर करा.
Complete facility setup	सुविधा की जानकारी पूरी करें	सुविधेची माहिती पूर्ण करा
Edit and resubmit	सुधारें और दोबारा जमा करें	सुधारून पुन्हा सादर करा
Refresh status	स्थिति फिर देखें	स्थिती पुन्हा पाहा
Review history	समीक्षा का इतिहास	पुनरावलोकनाचा इतिहास
Freedom Value reviews submitted documents. This is not government certification.	Freedom Value जमा किए गए दस्तावेज़ों की समीक्षा करता है। यह सरकारी प्रमाणीकरण नहीं है।	Freedom Value सादर केलेल्या कागदपत्रांचे पुनरावलोकन करते. हे सरकारी प्रमाणीकरण नाही.
Facility details changed	सुविधा की जानकारी बदल गई	सुविधेची माहिती बदलली
The online record changed. Start from its current version to submit new changes.	ऑनलाइन जानकारी बदल गई है। नए सुधार जमा करने के लिए वर्तमान जानकारी से शुरू करें।	ऑनलाइन नोंद बदलली आहे. नवीन बदल सादर करण्यासाठी सध्याच्या माहितीपासून सुरुवात करा.
Use current details	वर्तमान जानकारी इस्तेमाल करें	सध्याची माहिती वापरा
Facility setup	सुविधा की जानकारी	सुविधेची माहिती
Business	व्यवसाय	व्यवसाय
Services	सेवाएँ	सेवा
Documents	दस्तावेज़	कागदपत्रे
Company or facility name	कंपनी या सुविधा का नाम	कंपनी किंवा सुविधेचे नाव
Facility address	सुविधा का पता	सुविधेचा पत्ता
City or area	शहर या क्षेत्र	शहर किंवा परिसर
Business contact	व्यवसाय का संपर्क	व्यवसायाचा संपर्क
Operating hours	कार्य समय	कामकाजाची वेळ
Service areas	सेवा क्षेत्र	सेवा क्षेत्रे
We can arrange pickup	हम पिकअप की व्यवस्था कर सकते हैं	आम्ही माल उचलण्याची व्यवस्था करू शकतो
Choose the materials your facility accepts.	अपनी सुविधा में स्वीकार की जाने वाली सामग्री चुनें।	तुमच्या सुविधेत स्वीकारली जाणारी सामग्री निवडा.
Choose material categories	सामग्री की श्रेणियाँ चुनें	सामग्रीच्या श्रेणी निवडा
Document issuing authority	दस्तावेज़ जारी करने वाला प्राधिकरण	कागदपत्र जारी करणारे प्राधिकरण
Registration or document reference	पंजीकरण या दस्तावेज़ संदर्भ	नोंदणी किंवा कागदपत्र संदर्भ
Document expiry (YYYY-MM-DD, optional)	दस्तावेज़ की समाप्ति तिथि (YYYY-MM-DD, वैकल्पिक)	कागदपत्राची मुदत (YYYY-MM-DD, ऐच्छिक)
Attach registration or facility evidence. PDF, JPG or PNG, up to 5 MB each; five files maximum.	पंजीकरण या सुविधा के प्रमाण जोड़ें। PDF, JPG या PNG, प्रत्येक 5 MB तक; अधिकतम पाँच फ़ाइलें।	नोंदणी किंवा सुविधेचे पुरावे जोडा. PDF, JPG किंवा PNG, प्रत्येकी 5 MB पर्यंत; जास्तीत जास्त पाच फाईल्स.
Facility document	सुविधा का दस्तावेज़	सुविधेचे कागदपत्र
Tap to open	खोलने के लिए टैप करें	उघडण्यासाठी टॅप करा
Remove document	दस्तावेज़ हटाएँ	कागदपत्र काढा
Submitting changes starts a new review. Any previous approval ends until the new details are approved.	सुधार जमा करने पर नई समीक्षा शुरू होती है। नई जानकारी की स्वीकृति तक पिछली स्वीकृति समाप्त हो जाती है।	बदल सादर केल्यावर नवीन पुनरावलोकन सुरू होते. नवीन माहिती मंजूर होईपर्यंत आधीची मंजुरी संपते.
Previous step	पिछला चरण	मागील टप्पा
Save and close	सहेजें और बंद करें	जतन करून बंद करा
Accepted materials	स्वीकार्य सामग्री	स्वीकारली जाणारी सामग्री
Complete this field.	यह जानकारी भरें।	ही माहिती भरा.
Complete the business details first.	पहले व्यवसाय की जानकारी पूरी करें।	आधी व्यवसायाची माहिती पूर्ण करा.
Choose at least one material category.	कम से कम एक सामग्री श्रेणी चुनें।	सामग्रीची किमान एक श्रेणी निवडा.
Attach at least one facility document.	सुविधा का कम से कम एक दस्तावेज़ जोड़ें।	सुविधेचे किमान एक कागदपत्र जोडा.
Use a valid current expiry date in YYYY-MM-DD format.	YYYY-MM-DD प्रारूप में वैध समाप्ति तिथि भरें।	YYYY-MM-DD स्वरूपात वैध मुदत भरा.
Attach up to five facility documents.	सुविधा के अधिकतम पाँच दस्तावेज़ जोड़ें।	सुविधेची जास्तीत जास्त पाच कागदपत्रे जोडा.
Business details, documents and review	व्यवसाय की जानकारी, दस्तावेज़ और समीक्षा	व्यवसायाची माहिती, कागदपत्रे आणि पुनरावलोकन
Facility review updated	सुविधा की समीक्षा अपडेट हुई	सुविधेचे पुनरावलोकन अद्ययावत झाले
